1,"кафедра '"Вычислительная техника'""
2,"Межвузовская кафедра '"Информационные и развивающие образовательные системы и технологии'""
3,"кафедра '"Информационно-измерительная техника'""
4,"кафедра '"Автоматика и управление в технических системах'""
5,Информационно-вычислительный центр ИАИТ
6,"Кафедра '"Высшая математика'""
7,"кафедра '"Электронные системы и информационная безопасность'""
8,"кафедра '"Прикладная математика и информатика'""
9,"кафедра '"Автоматизация и управление технологическими процессами'""
10,"кафедра '"Информационные технологии'""
11,"кафедра '"Вычислительная техника'""
12,"Межвузовская кафедра '"Информационные и развивающие образовательные системы и технологии'""
13,"кафедра '"Информационно-измерительная техника'""
14,"кафедра '"Автоматика и управление в технических системах'""
15,Информационно-вычислительный центр ИАИТ
16,"Кафедра '"Высшая математика'""
17,"кафедра '"Электронные системы и информационная безопасность'""
18,"кафедра '"Прикладная математика и информатика'""
19,"кафедра '"Автоматизация и управление технологическими процессами'""
20,"кафедра '"Информационные технологии'""
