1,"Математическое моделирование физических, механических, технических и экономических систем и процессов"
2,"Информационное обеспечение, автоматизация и управление производственными процессами"
3,Физика и химия быстропротекающих процессов. Взрывные специальные технологии
4,"Металлургия, материаловедение и разработка технологий получения новых материалов"
5,оптимизация теплоэнергетических систем и управление электротехнологическими процессами
6,"Оптимизация электротехнических, электромеханических и электротехнологических процессов и установок"
7,Промышленная экология и техногенная безопасность
8,Новые технологические процессы в машиностроении
9,Качество и надежность в машиностроении и на транспорте
10,Менеджмент в отрасли и на предприятии
11,синтез и исследование свойств веществ и материалов
12,химико-технологические процессы и нефтепереработка
13,"поиск, разработка и повышение отдачи нефтяных и газовых месторождений"
14,Проблемы качества подготовки специалистов в интегрированных системах непрерывного образования и разработка технологий обучения
15,"Другие направления, утвержденные ученым советом Университета."
16,Экономические системы: управление и развитие
17,Межкультурные коммуникации и гуманитарные технологии в системе формирования профессиональной мобильности выпускника вуза
18,Системный анализ сложных технических объектов и методы обработки информации
19,Функциональные продукты питания на основе растительного сырья
